Taxon,State,Age,Stage,Max_age,Min_age,Formation,Group,Comments
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chasmosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chirostenotes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chirostenotes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chirostenotes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chirostenotes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chirostenotes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chirostenotes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Chirostenotes,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Corythosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Dromaeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Dromaeosaurus,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Dromaeosaurus,Alberta,Cretaceous,,79.7,79.5,Dinosaur Park,Two Medicine,
Dromaeosaurus,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Dromaeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Dromaeosaurus,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Dromaeosaurus,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Dromaeosaurus,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Dromaeosaurus,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Dromaeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Dromaeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Dromaeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Dromaeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Dromaeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Dyoplosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Edmontonia,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Edmontonia,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Edmontonia,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Euoplocephalus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Euoplocephalus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Euoplocephalus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Euoplocephalus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Euoplocephalus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Euoplocephalus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Euoplocephalus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Euoplocephalus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Euoplocephalus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Euoplocephalus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Gorgosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Gorgosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Gorgosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Gorgosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Gorgosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Gorgosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Gorgosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Gorgosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Gorgosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Gryposaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Gryposaurus,Alberta,Cretaceous,,84.2,84,Dinosaur Park,Two Medicine,
Gryposaurus,Alberta,Cretaceous,,84.2,84,Dinosaur Park,Two Medicine,
Gryposaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Gryposaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Gryposaurus,Alberta,Cretaceous,,84.2,84,Dinosaur Park,Two Medicine,
Gryposaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Gryposaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Hesperonychus,Alberta,Cretaceous,,74.7,74.5,Dinosaur Park,Two Medicine,
Hesperonychus,Alberta,Cretaceous,,79.7,79.5,Dinosaur Park,Two Medicine,
Hesperonychus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Lambeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Lambeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Lambeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Lambeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Lambeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Lambeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Lambeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Lambeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Lambeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Lambeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
