collection_no,source_database,collection.authorizer,family_name,occurrence.genus_reso,occurrence.genus_name,original.genus_reso,original.genus_name,abund_value,abund_unit,occurrence.reference_no,original.reference_no,collection.reference_no,country,state,county,latdec,lngdec,period,epoch,subepoch,stage,10_my_bin,max_interval,min_interval,ma_max,ma_min,ma_mid,geological_group,formation,member,stratcomments,lithdescript,lithadj,lithadj2,environment,geology_comments,,,,,,,
46332,ETE,M. Carrano,Ankylosauridae,n. gen.,Dyoplosaurus,,,1,individuals,12348,,12348,Canada,Alberta,,50.749242,-111.471732,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,originally assigned to the Oldman Fm.,,,,"""channel""",,,,,,,,
46333,ETE,M. Carrano,Hadrosauridae,n. gen.,Parasaurolophus,,,1,individuals,12350,,12350,Canada,Alberta,,50.750125,-111.488621,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,originally assigned to the Oldman Fm.,,,,channel lag,,,,,,,,
46335,ETE,M. Carrano,Ornithomimidae,,Ornithomimus,,Struthiomimus,1,individuals,12351,,12351,Canada,Alberta,,50.806516,-111.597153,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,originally assigned to the Oldman Fm.,"""sandstone, plant matter""",,,channel lag,"""channel base""",,,,,,,
46358,ETE,M. Carrano,Hadrosauridae,n. gen.,Lambeosaurus,n. gen.,Tetragonosaurus,1,individuals,12354,,12354,Canada,Alberta,,50.741656,-111.488023,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,originally assigned to Oldman Fm.,,,,terrestrial indet.,,,,,,,,
46358,ETE,M. Carrano,Caenagnathidae,,Caenagnathus,cf.,Caenagnathus,1,specimens,54018,53050,12354,Canada,Alberta,,50.741656,-111.488023,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,originally assigned to Oldman Fm.,,,,terrestrial indet.,,,,,,,,
46359,ETE,M. Carrano,Hadrosauridae,,Corythosaurus,,Tetragonosaurus,1,individuals,12354,,12354,Canada,Alberta,,50.688,-111.616667,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,"""Belly River Formation""",,,,terrestrial indet.,,,,,,,,
46951,ETE,M. Carrano,Troodontidae,,Troodon,,Troodon,1,specimens,16964,12473,12473,Canada,Alberta,,50.746637,-111.505225,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,,,,,terrestrial indet.,,,,,,,,
46952,ETE,M. Carrano,Caenagnathidae,n. gen.,Caenagnathus,,Aves,1,individuals,18597,18581,18581,Canada,Alberta,,50.739815,-111.514618,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,"orignally described as the ""Pale Beds"", then assigned to Oldman Fm.",,,,terrestrial indet.,,,,,,,,
46953,PaleoDB,M. Carrano,Caenagnathidae,,Chirostenotes,,Caenagnathus,1,individuals,9243,,9243,Canada,Alberta,,50.73718,-111.491816,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,,,,,channel lag,,,,,,,,
46954,ETE,M. Carrano,Caenagnathidae,,Leptorhynchos,,Caenagnathus,1,individuals,46506,9243,9243,Canada,Alberta,,50.7424,-111.4889,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,,,,,terrestrial indet.,,,,,,,,
46956,ETE,M. Carrano,Caenagnathidae,,Leptorhynchos,,Caenagnathus,1,individuals,46506,9243,9243,Canada,Alberta,,50.1313,-111.6937,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,,,,,terrestrial indet.,,,,,,,,
46958,ETE,M. Carrano,Caenagnathidae,,Caenagnathus,,,1,individuals,9243,,9243,Canada,Alberta,,50.757,-110.172,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,,,,,terrestrial indet.,,,,,,,,
46958,ETE,M. Carrano,Dromaeosauridae,,Saurornitholestes,,,1,specimens,48570,,9243,Canada,Alberta,,50.757,-110.172,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,,,,,terrestrial indet.,,,,,,,,
47629,ETE,M. Carrano,Pachycephalosauridae,,Stegoceras,,Ornatotholus,1,specimens,12772,,12772,Canada,Alberta,,50.4077,-110.291,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,,,,,terrestrial indet.,,,,,,,,
47784,PaleoDB,R. Whatley,Dromaeosauridae,,Saurornitholestes,,,36,specimens,5929,,5929,Canada,Alberta,,50.791401,-111.624328,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,79.2,79,79.1,Belly River,Dinosaur Park,,"Microvertebrate sites of Brinkman (1990) are ""...placed in stratigraphic sequence by reference to a disconformity located about sixty meters below the base of the Lethbridge Coal (Eberth, 1990). The stratigraphic position of each site is expressed in terms of meteres above or below the disconformity (Fig. 2, Brinkman, 1990)"" where positive numbers are above and negative below.","""BB 108 occurs at the base of a fining-upward 4-5 m thick lithosome comprising, in ascending order, 20 cm of fossilifoerous, intraclast-rich sandstone (BB 108), 50 cm of ripple-laminated, fine-to-medium-grained sandstone (Fig. 6F), 2 m of thinning-upward sets of large scale TCSS, and 1.5-2.5 m of IHS.... Vertebrate microfossils and mudstone intraclasts are poorly sorted within the basal intraclast deposit. Clast long axes are oriented subhorizontally and range up to 6 cm (Fig. 6G)."" (Eberth, 1990)","current ripples,intraclastic",,channel lag,"Characterized as in-channel, coastal plain. Facies association = trough cross-stratified sandstones. Upper flow-regime, tractional plane beds fromed during flood stage. Lag deposits, or plane bed deposits that show horizontal-planar stratification, bed thicknesses exceeding single pebble diameters, normal graded or fining upward texture, and matrix-supported clasts. The disconformity in southern Alberta records a Cordilleran uplift event west of the Park.",,,,,,,
47784,PaleoDB,R. Whatley,Troodontidae,,Troodon,,,3,specimens,5929,,5929,Canada,Alberta,,50.791401,-111.624328,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,79.2,79,79.1,Belly River,Dinosaur Park,,"Microvertebrate sites of Brinkman (1990) are ""...placed in stratigraphic sequence by reference to a disconformity located about sixty meters below the base of the Lethbridge Coal (Eberth, 1990). The stratigraphic position of each site is expressed in terms of meteres above or below the disconformity (Fig. 2, Brinkman, 1990)"" where positive numbers are above and negative below.","""BB 108 occurs at the base of a fining-upward 4-5 m thick lithosome comprising, in ascending order, 20 cm of fossilifoerous, intraclast-rich sandstone (BB 108), 50 cm of ripple-laminated, fine-to-medium-grained sandstone (Fig. 6F), 2 m of thinning-upward sets of large scale TCSS, and 1.5-2.5 m of IHS.... Vertebrate microfossils and mudstone intraclasts are poorly sorted within the basal intraclast deposit. Clast long axes are oriented subhorizontally and range up to 6 cm (Fig. 6G)."" (Eberth, 1990)","current ripples,intraclastic",,channel lag,"Characterized as in-channel, coastal plain. Facies association = trough cross-stratified sandstones. Upper flow-regime, tractional plane beds fromed during flood stage. Lag deposits, or plane bed deposits that show horizontal-planar stratification, bed thicknesses exceeding single pebble diameters, normal graded or fining upward texture, and matrix-supported clasts. The disconformity in southern Alberta records a Cordilleran uplift event west of the Park.",,,,,,,
47784,PaleoDB,R. Whatley,,,Paronychodon,,,1,specimens,19348,,5929,Canada,Alberta,,50.791401,-111.624328,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,79.2,79,79.1,Belly River,Dinosaur Park,,"Microvertebrate sites of Brinkman (1990) are ""...placed in stratigraphic sequence by reference to a disconformity located about sixty meters below the base of the Lethbridge Coal (Eberth, 1990). The stratigraphic position of each site is expressed in terms of meteres above or below the disconformity (Fig. 2, Brinkman, 1990)"" where positive numbers are above and negative below.","""BB 108 occurs at the base of a fining-upward 4-5 m thick lithosome comprising, in ascending order, 20 cm of fossilifoerous, intraclast-rich sandstone (BB 108), 50 cm of ripple-laminated, fine-to-medium-grained sandstone (Fig. 6F), 2 m of thinning-upward sets of large scale TCSS, and 1.5-2.5 m of IHS.... Vertebrate microfossils and mudstone intraclasts are poorly sorted within the basal intraclast deposit. Clast long axes are oriented subhorizontally and range up to 6 cm (Fig. 6G)."" (Eberth, 1990)","current ripples,intraclastic",,channel lag,"Characterized as in-channel, coastal plain. Facies association = trough cross-stratified sandstones. Upper flow-regime, tractional plane beds fromed during flood stage. Lag deposits, or plane bed deposits that show horizontal-planar stratification, bed thicknesses exceeding single pebble diameters, normal graded or fining upward texture, and matrix-supported clasts. The disconformity in southern Alberta records a Cordilleran uplift event west of the Park.",,,,,,,
47793,PaleoDB,R. Whatley,Dromaeosauridae,,Saurornitholestes,,,8,specimens,5929,,16643,Canada,Alberta,,50.750067,-111.463035,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,79.7,79,79.35,Belly River,Dinosaur Park,,"Microvertebrate sites of Brinkman (1990) are ""...placed in stratigraphic sequence by reference to a disconformity located about sixty meters below the base of the Lethbridge Coal (Eberth, 1990). The stratigraphic position of each site is expressed in terms of meteres above or below the disconformity (Fig. 2, Brinkman, 1990)"" where positive numbers are above and negative below. DPP-Brinkman section measurement = 1.0 m","BB 98 occurs within a laterally extensive (>100 m) 1.5-2.5 m thick, horizontally laminated, fine-to-medium-grained sandstone lithosome. Fossils were collected from a 50 cm thick unit of contorted, silty, fine-to-medium-grained sandstone with small lenses of mudstone as well as carbonaceous laminae. Microfossils have een collected exclusively from this lower unit.","planar lamination,fine,medium",lenticular,crevasse splay,"Splay deposits typically comprise stacked sequences of interlaminated sands and siltstones separated by erosional surfaces, thus indicating repeated flooding and aggradation.",,,,,,,
47807,PaleoDB,R. Whatley,Dromaeosauridae,,Saurornitholestes,,,2,specimens,5929,,5929,Canada,Alberta,,50.767207,-111.514677,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,79.7,79,79.35,Belly River,Dinosaur Park,,"Microvertebrate sites of Brinkman (1990) are ""...placed in stratigraphic sequence by reference to a disconformity located about sixty meters below the base of the Lethbridge Coal (Eberth, 1990). The stratigraphic position of each site is expressed in terms of meteres above or below the disconformity (Fig. 2, Brinkman, 1990)"" where positive numbers are above and negative below.","BB 71 microfossils occur in a highly contorted, sandy siltstone sheet within an overall horizontally laminated, 2 m thick, fining-upward sedimentary sequence. Microfossils are concentrated in the lowermost 40 cm, in a sequence which consists of alternating fine-to-medium-grained sandstone laminae and coaly siltstone laminae.","planar lamination,fine,medium",planar lamination,crevasse splay,"Splay deposits typically comprise stacked sequences of interlaminated sands and siltstones separated by erosional surfaces, thus indicating repeated flooding and aggradation.",,,,,,,
47807,PaleoDB,R. Whatley,Troodontidae,,Troodon,,,2,specimens,5929,,5929,Canada,Alberta,,50.767207,-111.514677,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,79.7,79,79.35,Belly River,Dinosaur Park,,"Microvertebrate sites of Brinkman (1990) are ""...placed in stratigraphic sequence by reference to a disconformity located about sixty meters below the base of the Lethbridge Coal (Eberth, 1990). The stratigraphic position of each site is expressed in terms of meteres above or below the disconformity (Fig. 2, Brinkman, 1990)"" where positive numbers are above and negative below.","BB 71 microfossils occur in a highly contorted, sandy siltstone sheet within an overall horizontally laminated, 2 m thick, fining-upward sedimentary sequence. Microfossils are concentrated in the lowermost 40 cm, in a sequence which consists of alternating fine-to-medium-grained sandstone laminae and coaly siltstone laminae.","planar lamination,fine,medium",planar lamination,crevasse splay,"Splay deposits typically comprise stacked sequences of interlaminated sands and siltstones separated by erosional surfaces, thus indicating repeated flooding and aggradation.",,,,,,,
47811,PaleoDB,R. Whatley,Dromaeosauridae,,Saurornitholestes,,,6,specimens,5929,,5929,Canada,Alberta,,50.750424,-111.506981,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,79.7,79,79.35,Belly River,Dinosaur Park,,"Microvertebrate sites of Brinkman (1990) are ""...placed in stratigraphic sequence by reference to a disconformity located about sixty meters below the base of the Lethbridge Coal (Eberth, 1990). The stratigraphic position of each site is expressed in terms of meteres above or below the disconformity (Fig. 2, Brinkman, 1990)"" where positive numbers are above and negative below.","BB 121 occurs in a 1.5 m thick fining-upward unit of resistant, carbonaceous contorted, silty, very fine-to-fine-grained sandstone.","very fine,fine",,crevasse splay,"Splay deposits typically comprise stacked sequences of interlaminated sands and siltstones separated by erosional surfaces, thus indicating repeated flooding and aggradation.",,,,,,,
47811,PaleoDB,R. Whatley,Troodontidae,,Troodon,,,1,specimens,5929,,5929,Canada,Alberta,,50.750424,-111.506981,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,79.7,79,79.35,Belly River,Dinosaur Park,,"Microvertebrate sites of Brinkman (1990) are ""...placed in stratigraphic sequence by reference to a disconformity located about sixty meters below the base of the Lethbridge Coal (Eberth, 1990). The stratigraphic position of each site is expressed in terms of meteres above or below the disconformity (Fig. 2, Brinkman, 1990)"" where positive numbers are above and negative below.","BB 121 occurs in a 1.5 m thick fining-upward unit of resistant, carbonaceous contorted, silty, very fine-to-fine-grained sandstone.","very fine,fine",,crevasse splay,"Splay deposits typically comprise stacked sequences of interlaminated sands and siltstones separated by erosional surfaces, thus indicating repeated flooding and aggradation.",,,,,,,
47812,PaleoDB,R. Whatley,Dromaeosauridae,,Saurornitholestes,,,,,5929,,5929,Canada,Alberta,,50.748546,-111.524962,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,79.7,79,79.35,Belly River,Dinosaur Park,,"Microvertebrate sites of Brinkman (1990) are ""...placed in stratigraphic sequence by reference to a disconformity located about sixty meters below the base of the Lethbridge Coal (Eberth, 1990). The stratigraphic position of each site is expressed in terms of meteres above or below the disconformity (Fig. 2, Brinkman, 1990)"" where positive numbers are above and negative below.","The overlook site occurs in a 1 m thick lithosome of massive-to-highly contorted, fine-grained shelly sandstone. Shells comprise occasional unionid valves in a deposit rich in pisidiid valves and gastropod shells. Compressed, silicified plant fragments measuring up to 10 cm in maximum dimension are present and define poorly developed bedding planes.",,,crevasse splay,"Splay deposits typically comprise stacked sequences of interlaminated sands and siltstones separated by erosional surfaces, thus indicating repeated flooding and aggradation.",,,,,,,
47812,PaleoDB,R. Whatley,Troodontidae,,Troodon,,,,,5929,,5929,Canada,Alberta,,50.748546,-111.524962,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,79.7,79,79.35,Belly River,Dinosaur Park,,"Microvertebrate sites of Brinkman (1990) are ""...placed in stratigraphic sequence by reference to a disconformity located about sixty meters below the base of the Lethbridge Coal (Eberth, 1990). The stratigraphic position of each site is expressed in terms of meteres above or below the disconformity (Fig. 2, Brinkman, 1990)"" where positive numbers are above and negative below.","The overlook site occurs in a 1 m thick lithosome of massive-to-highly contorted, fine-grained shelly sandstone. Shells comprise occasional unionid valves in a deposit rich in pisidiid valves and gastropod shells. Compressed, silicified plant fragments measuring up to 10 cm in maximum dimension are present and define poorly developed bedding planes.",,,crevasse splay,"Splay deposits typically comprise stacked sequences of interlaminated sands and siltstones separated by erosional surfaces, thus indicating repeated flooding and aggradation.",,,,,,,
47812,PaleoDB,R. Whatley,Dromaeosauridae,,Dromaeosaurus,,Dromaeosaurus,,,48570,19348,5929,Canada,Alberta,,50.748546,-111.524962,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,79.7,79,79.35,Belly River,Dinosaur Park,,"Microvertebrate sites of Brinkman (1990) are ""...placed in stratigraphic sequence by reference to a disconformity located about sixty meters below the base of the Lethbridge Coal (Eberth, 1990). The stratigraphic position of each site is expressed in terms of meteres above or below the disconformity (Fig. 2, Brinkman, 1990)"" where positive numbers are above and negative below.","The overlook site occurs in a 1 m thick lithosome of massive-to-highly contorted, fine-grained shelly sandstone. Shells comprise occasional unionid valves in a deposit rich in pisidiid valves and gastropod shells. Compressed, silicified plant fragments measuring up to 10 cm in maximum dimension are present and define poorly developed bedding planes.",,,crevasse splay,"Splay deposits typically comprise stacked sequences of interlaminated sands and siltstones separated by erosional surfaces, thus indicating repeated flooding and aggradation.",,,,,,,
47814,PaleoDB,R. Whatley,Dromaeosauridae,,Saurornitholestes,,,8,specimens,5929,,16643,Canada,Alberta,,50.812055,-111.577622,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,79.2,79,79.1,Belly River,Dinosaur Park,,"Microvertebrate sites of Brinkman (1990) are ""...placed in stratigraphic sequence by reference to a disconformity located about sixty meters below the base of the Lethbridge Coal (Eberth, 1990). The stratigraphic position of each site is expressed in terms of meteres above or below the disconformity (Fig. 2, Brinkman, 1990)"" where positive numbers are above and negative below.","BB 54 occurs as a 50 cm thick coaly, horizontally-laminated deposit, comprising three poorly-to-moderately-sorted, normally graded sequences. Sequences are silty sandstone, except for siltstone/mudstone seqence. It is not obvious if or where fossils are concentrated.",planar lamination,,fine channel fill,Muddy channel-fill - abandoned channel,,,,,,,
47814,PaleoDB,R. Whatley,,,Paronychodon,,,1,specimens,19348,,16643,Canada,Alberta,,50.812055,-111.577622,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,79.2,79,79.1,Belly River,Dinosaur Park,,"Microvertebrate sites of Brinkman (1990) are ""...placed in stratigraphic sequence by reference to a disconformity located about sixty meters below the base of the Lethbridge Coal (Eberth, 1990). The stratigraphic position of each site is expressed in terms of meteres above or below the disconformity (Fig. 2, Brinkman, 1990)"" where positive numbers are above and negative below.","BB 54 occurs as a 50 cm thick coaly, horizontally-laminated deposit, comprising three poorly-to-moderately-sorted, normally graded sequences. Sequences are silty sandstone, except for siltstone/mudstone seqence. It is not obvious if or where fossils are concentrated.",planar lamination,,fine channel fill,Muddy channel-fill - abandoned channel,,,,,,,
47816,PaleoDB,R. Whatley,Dromaeosauridae,,Saurornitholestes,,,,,5929,,16643,Canada,Alberta,,50.750278,-111.474722,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,79.2,79,79.1,Belly River,Dinosaur Park,,"Microvertebrate sites of Brinkman (1990) are ""...placed in stratigraphic sequence by reference to a disconformity located about sixty meters below the base of the Lethbridge Coal (Eberth, 1990). The stratigraphic position of each site is expressed in terms of meteres above or below the disconformity (Fig. 2, Brinkman, 1990)"" where positive numbers are above and negative below.","BB 31 occurs within a 2.0 m thick fining-upward lithosome of locally contorted carbonaceous sediments that displays a faint horizontal lamination and locally developed ripple lamination. BB 31 includes locally developed iron-rich (sideritic) sediments associated with concentrated disarticulated pisidiid clam valves and rare unionids. At BB 31 the lower half of the lithosome is dominated by contorted lenses and laminae of silty, fine-to-medium-grained sandstone. The sandstones contain the densest accumulations of microfossils and pisidiid valves as well as a few disarticulated unionid valves and rare gastropod shells.","planar lamination,fine,medium,sideritic",,crevasse splay,"Splay deposits typically comprise stacked sequences of interlaminated sands and siltstones separated by erosional surfaces, thus indicating repeated flooding and aggradation.",,,,,,,
47816,PaleoDB,R. Whatley,Thescelosauridae,cf.,Thescelosaurus,,,,,15455,,16643,Canada,Alberta,,50.750278,-111.474722,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,79.2,79,79.1,Belly River,Dinosaur Park,,"Microvertebrate sites of Brinkman (1990) are ""...placed in stratigraphic sequence by reference to a disconformity located about sixty meters below the base of the Lethbridge Coal (Eberth, 1990). The stratigraphic position of each site is expressed in terms of meteres above or below the disconformity (Fig. 2, Brinkman, 1990)"" where positive numbers are above and negative below.","BB 31 occurs within a 2.0 m thick fining-upward lithosome of locally contorted carbonaceous sediments that displays a faint horizontal lamination and locally developed ripple lamination. BB 31 includes locally developed iron-rich (sideritic) sediments associated with concentrated disarticulated pisidiid clam valves and rare unionids. At BB 31 the lower half of the lithosome is dominated by contorted lenses and laminae of silty, fine-to-medium-grained sandstone. The sandstones contain the densest accumulations of microfossils and pisidiid valves as well as a few disarticulated unionid valves and rare gastropod shells.","planar lamination,fine,medium,sideritic",,crevasse splay,"Splay deposits typically comprise stacked sequences of interlaminated sands and siltstones separated by erosional surfaces, thus indicating repeated flooding and aggradation.",,,,,,,
47816,PaleoDB,R. Whatley,,,Paronychodon,,,,,19348,,16643,Canada,Alberta,,50.750278,-111.474722,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,79.2,79,79.1,Belly River,Dinosaur Park,,"Microvertebrate sites of Brinkman (1990) are ""...placed in stratigraphic sequence by reference to a disconformity located about sixty meters below the base of the Lethbridge Coal (Eberth, 1990). The stratigraphic position of each site is expressed in terms of meteres above or below the disconformity (Fig. 2, Brinkman, 1990)"" where positive numbers are above and negative below.","BB 31 occurs within a 2.0 m thick fining-upward lithosome of locally contorted carbonaceous sediments that displays a faint horizontal lamination and locally developed ripple lamination. BB 31 includes locally developed iron-rich (sideritic) sediments associated with concentrated disarticulated pisidiid clam valves and rare unionids. At BB 31 the lower half of the lithosome is dominated by contorted lenses and laminae of silty, fine-to-medium-grained sandstone. The sandstones contain the densest accumulations of microfossils and pisidiid valves as well as a few disarticulated unionid valves and rare gastropod shells.","planar lamination,fine,medium,sideritic",,crevasse splay,"Splay deposits typically comprise stacked sequences of interlaminated sands and siltstones separated by erosional surfaces, thus indicating repeated flooding and aggradation.",,,,,,,
47816,PaleoDB,R. Whatley,Dromaeosauridae,,Dromaeosaurus,,,,,19348,,16643,Canada,Alberta,,50.750278,-111.474722,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,79.2,79,79.1,Belly River,Dinosaur Park,,"Microvertebrate sites of Brinkman (1990) are ""...placed in stratigraphic sequence by reference to a disconformity located about sixty meters below the base of the Lethbridge Coal (Eberth, 1990). The stratigraphic position of each site is expressed in terms of meteres above or below the disconformity (Fig. 2, Brinkman, 1990)"" where positive numbers are above and negative below.","BB 31 occurs within a 2.0 m thick fining-upward lithosome of locally contorted carbonaceous sediments that displays a faint horizontal lamination and locally developed ripple lamination. BB 31 includes locally developed iron-rich (sideritic) sediments associated with concentrated disarticulated pisidiid clam valves and rare unionids. At BB 31 the lower half of the lithosome is dominated by contorted lenses and laminae of silty, fine-to-medium-grained sandstone. The sandstones contain the densest accumulations of microfossils and pisidiid valves as well as a few disarticulated unionid valves and rare gastropod shells.","planar lamination,fine,medium,sideritic",,crevasse splay,"Splay deposits typically comprise stacked sequences of interlaminated sands and siltstones separated by erosional surfaces, thus indicating repeated flooding and aggradation.",,,,,,,
48618,ETE,M. Carrano,Ankylosauridae,,Euoplocephalus,,,1,individuals,12772,,17480,Canada,Alberta,,50.4,-111.1,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,"originally assigned to the Oldman Fm,",,,,terrestrial indet.,,,,,,,,
48618,ETE,M. Carrano,Pachycephalosauridae,,Stegoceras,,Stegoceras,1,specimens,24421,12772,17480,Canada,Alberta,,50.4,-111.1,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,"originally assigned to the Oldman Fm,",,,,terrestrial indet.,,,,,,,,
48619,ETE,M. Carrano,Pachycephalosauridae,,Stegoceras,,Ornatotholus,1,specimens,12772,,12772,Canada,Alberta,,50.688,-111.616667,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,,,,,terrestrial indet.,,,,,,,,
48686,ETE,M. Carrano,Dromaeosauridae,,Hesperonychus,,,1,specimens,29426,,29426,Canada,Alberta,,49.204,-110.369,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,,,,,terrestrial indet.,,,,,,,,
49235,ETE,M. Carrano,Hadrosauridae,n. gen.,Lambeosaurus,,,1,individuals,12343,,12343,Canada,Alberta,,50.73,-111.556111,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,100 ft below contact with Pierre Shale,,,,terrestrial indet.,,,,,,,,
49237,ETE,M. Carrano,Hadrosauridae,,Lambeosaurus,,Lambeosaurus,1,individuals,54993,24163,24163,Canada,Alberta,,50.746252,-111.474804,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,originally assigned to the Oldman Fm.,,,,"""channel""",,,,,,,,
51317,ETE,M. Carrano,Ceratopsidae,,Pentaceratops,,Anchiceratops,1,specimens,59189,13670,13670,Canada,Alberta,,49.1419,-110.4158,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,12 ft above light gray sandstone bed (3.7 m above a sandstone near the top of the Dinosaur Park Formation),,,,estuary/bay,,,,,,,,
51861,ETE,M. Carrano,Hadrosauridae,,Lambeosaurus,,,1,specimens,12319,,12319,Canada,Alberta,,50.752738,-111.506353,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,originally assigned to the Oldman Fm.,"""sandstone, plant matter, claystone""",,,"""channel""","""channel top""",,,,,,,
51862,ETE,M. Carrano,Hadrosauridae,,Lambeosaurus,,,1,individuals,12319,,12319,Canada,Alberta,,50.733291,-111.511571,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,originally assigned to the Oldman Fm.,,,,"""channel""",,,,,,,,
51863,ETE,M. Carrano,Hadrosauridae,,Lambeosaurus,,Lambeosaurus,1,individuals,12118,,12118,Canada,Alberta,,50.741595,-111.559805,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,"10 feet below Bearpaw Shale; originally assigned to the Oldman Fm.; high within formation, 47 m above contact with Oldman Fm.",,,,channel lag,,,,,,,,
52472,ETE,M. Carrano,Hadrosauridae,n. gen.,Corythosaurus,,Trachodontidae,1,individuals,9646,58800,58800,Canada,Alberta,,50.823826,-111.604231,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Belly River,Dinosaur Park,,"300 ft below top of Bell River ""formation""",,,"current ripples,""cross stratification"",white","""channel""","""beach""; also ""channel""",,,,,,,
