collection_no,source_database,collection.authorizer,family_name,occurrence.genus_reso,occurrence.genus_name,original.genus_reso,original.genus_name,abund_value,abund_unit,occurrence.reference_no,original.reference_no,collection.reference_no,country,state,county,latdec,lngdec,period,epoch,subepoch,stage,10_my_bin,max_interval,min_interval,ma_max,ma_min,ma_mid,geological_group,formation,member,stratcomments,lithdescript,lithadj,lithadj2,environment,geology_comments,,,,,,,
48941,ETE,M. Carrano,Ceratopsidae,,Agujaceratops,,Chasmosaurus,1,individuals,14107,,63793,United States,Texas,Brewster,29.134722,-103.203611,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Judithian,,84.9,70.6,77.75,,Aguja,,,"""carbonaceous gray claystone""",gray,,interdistributary bay,"""deltaic interdistributary marshes""",,,,,,,
52462,ETE,M. Carrano,Ceratopsidae,,Agujaceratops,,Chasmosaurus,1,individuals,14107,,14107,United States,Texas,Brewster,29.174419,-103.201478,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Judithian,,84.9,70.6,77.75,,Aguja,,,"""carbonaceous gray claystone""",gray,,interdistributary bay,"""deltaic interdistributary marshes""",,,,,,,
52463,ETE,M. Carrano,Ceratopsidae,,Agujaceratops,,Chasmosaurus,1,individuals,14107,,14107,United States,Texas,Brewster,29.2515883,-103.5507397,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Judithian,,84.9,70.6,77.75,,Aguja,,,,,,terrestrial indet.,,,,,,,,
52464,ETE,M. Carrano,Ceratopsidae,,Agujaceratops,,Chasmosaurus,1,individuals,14107,,14107,United States,Texas,Brewster,29.2251998,-103.6371304,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Judithian,,84.9,70.6,77.75,,Aguja,,,,,,terrestrial indet.,,,,,,,,
68002,PaleoDB,M. Carrano,Dromaeosauridae,,Saurornitholestes,,,1,specimens,11752,,11752,United States,Texas,Brewster,29.104792,-103.169877,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,81.3,76.2,78.75,,Aguja,Upper Shale,,"""carbonate-cemented, pedogenic-nodule, sandstone conglomerates containing numerous clasts of clay, pedogenic nodules...""","paleosol/pedogenic,intraclastic",,channel lag,"""lag deposits from the base of fluvial channels""",,,,,,,
68003,PaleoDB,M. Carrano,Dromaeosauridae,,Saurornitholestes,,Richardoestesia,1,specimens,19433,11752,11752,United States,Texas,Brewster,29.104792,-103.169877,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,81.3,76.2,78.75,,Aguja,Upper Shale,,"""carbonate-cemented, pedogenic-nodule, sandstone conglomerates containing numerous clasts of clay, pedogenic nodules...""","paleosol/pedogenic,intraclastic",,channel lag,"""lag deposits from the base of fluvial channels""",,,,,,,
68006,PaleoDB,M. Carrano,Dromaeosauridae,,Saurornitholestes,,,1,specimens,11752,,11752,United States,Texas,Brewster,29.104792,-103.169877,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,81.3,76.2,78.75,,Aguja,Upper Shale,,"""carbonate-cemented, pedogenic-nodule, sandstone conglomerates containing numerous clasts of clay, pedogenic nodules...""","paleosol/pedogenic,intraclastic",,channel lag,"""lag deposits from the base of fluvial channels""",,,,,,,
68007,ETE,M. Carrano,,,Paronychodon,,,5,specimens,19433,,19433,United States,Texas,Brewster,29.30055,-103.516488,Cretaceous,Late/Upper Cretaceous,,Maastrichtian,Cretaceous 8,Early/Lower Maastrichtian,,70.6,66.043,68.3215,,Aguja,Upper Shale,upper part of formation,,,fine,lacustrine indet.,,,,,,,,
68008,ETE,M. Carrano,Dromaeosauridae,,Saurornitholestes,,,9,specimens,19433,,19433,United States,Texas,Brewster,29.228553,-103.565624,Cretaceous,Late/Upper Cretaceous,,Maastrichtian,Cretaceous 8,Early/Lower Maastrichtian,,70.6,66.043,68.3215,,Aguja,Upper Shale,upper part of formation,,,,"""floodplain""",,,,,,,,
68014,ETE,M. Carrano,Dromaeosauridae,,Saurornitholestes,,,2,specimens,19433,,19433,United States,Texas,Brewster,29.228553,-103.565624,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,81.3,76.2,78.75,,Aguja,,,,,,"""floodplain""",,,,,,,,
68014,ETE,M. Carrano,Nodosauridae,cf.,Edmontonia,,,3,specimens,36226,,19433,United States,Texas,Brewster,29.228553,-103.565624,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,81.3,76.2,78.75,,Aguja,,,,,,"""floodplain""",,,,,,,,
68014,ETE,M. Carrano,Dromaeosauridae,,Saurornitholestes,,,10,specimens,36226,,19433,United States,Texas,Brewster,29.228553,-103.565624,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,81.3,76.2,78.75,,Aguja,,,,,,"""floodplain""",,,,,,,,
68015,ETE,M. Carrano,Nodosauridae,cf.,Edmontonia,,,3,specimens,36226,,19433,United States,Texas,Brewster,29.228553,-103.565624,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,,Aguja,,,,,,"""floodplain""",,,,,,,,
90032,ETE,M. Carrano,Hadrosauridae,n. gen.,Angulomastacator,,,1,specimens,30165,,30165,United States,Texas,Brewster,29.301561,-103.50413,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Middle Campanian,,84.9,70.6,77.75,,Aguja,,"""upper shale member"", just below contact with overlying Javelina Fm.  Estimated as mid Campanian based on U-Pb dates from 3 km S at 76.0 ± 1.2 Ma","""Site TMM 43681 lies within a dark grey mudstone just below a chaotically-bedded very fine sandstone with undulose contacts (Fig. 1)...This unit contains reworked ferruginous concretions, carbonaceous plant fragments, abraded fossil bone, and unionid bivalve fragments, and has been interpreted as a small tributary channel deposit (Wagner, 2001).""",gray,fine,delta plain,"""These are part of a sequence of inclined, arrhythmic heterolithic strata (Wood et al., 1988) within an interval of relatively sandy coastal plain facies rock (Lehman, 1985).""",,,,,,,
94373,PaleoDB,R. Butler,Pachycephalosauridae,,Texacephale,,,1,specimens,32091,,32091,United States,Texas,Brewster,29.25,-103.25,Cretaceous,Late/Upper Cretaceous,,,,Late/Upper Campanian,Early/Lower Maastrichtian,84.9,66.043,75.4715,,Aguja,Upper Shale,,,,,terrestrial indet.,,,,,,,,
94373,PaleoDB,R. Butler,Ceratopsidae,,Agujaceratops,,,1,specimens,32091,,32091,United States,Texas,Brewster,29.25,-103.25,Cretaceous,Late/Upper Cretaceous,,,,Late/Upper Campanian,Early/Lower Maastrichtian,84.9,66.043,75.4715,,Aguja,Upper Shale,,,,,terrestrial indet.,,,,,,,,
99139,ETE,M. Carrano,Hadrosauridae,cf.,Kritosaurus,,,,,34097,,34097,Mexico,Coahuila,,28.921389,-103.336667,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,,Aguja,,"correlated to upper member of Aguja Fm in nearby Big Bend, TX",,"green,yellow",,delta plain,"""system was deltaic with a narrow prodelta seam with marshes, oxbows, and near shore lagoons with sandy or silty bars""",,,,,,,
109657,ETE,M. Carrano,Dromaeosauridae,,Saurornitholestes,,,1,specimens,36226,,36226,United States,Texas,Brewster,29.228553,-103.565624,Cretaceous,Late/Upper Cretaceous,,Maastrichtian,Cretaceous 8,Early/Lower Maastrichtian,,70.6,66.043,68.3215,,Aguja,Upper Shale,upper part of formation; bed is about 1.5 m thick,"""medium-dark grey (N4), muddy sandstones, with abundant clay balls, pedogenic carbonate nodules""","paleosol/pedogenic,nodular,gray",,"""channel""",,,,,,,,
109658,PaleoDB,M. Carrano,Dromaeosauridae,,Saurornitholestes,,,1,specimens,36226,,36226,United States,Texas,Brewster,29.104792,-103.169877,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,,Aguja,Upper Shale,,,,,terrestrial indet.,,,,,,,,
