Reference
"Albright III, L.B. and Titus, A.L., 2016. Magnetostratigraphy of Upper Cretaceous strata in Grand Staircase-Escalante National Monument, southern Utah: The Santonian–Campanian Stage boundary, reassessment of the C33N/C33R magnetochron boundary, and implications for regional sedimentation patterns within the Sevier Foreland Basin. Cretaceous Research, 63, pp.77-94."
"Amato, J.M., Mack, G.H., Jonell, T.N., Seager, W.R. and Upchurch, G.R., 2017. Onset of the Laramide orogeny and associated magmatism in southern New Mexico based on U-Pb geochronology. GSA Bulletin, 129(9-10), pp.1209-1226."
"Axsmith, B.J. and Jacobs, B.F., 2005. The conifer Frenelopsis ramosissima (Cheirolepidiaceae) in the Lower Cretaceous of Texas: systematic, biogeographical, and paleoecological implications. International Journal of Plant Sciences, 166(2), pp.327-337."
"Bell, K.M., 2018. Biostratigraphy of Cretaceous and Paleogene Strata from Northern Yukon Territory and District of Mackenzie, Northwest Territories."
"Bertog, J., Huff, W. and Martin, J.E., 2007. Geochemical and mineralogical recognition of the bentonites in the lower Pierre Shale Group and their use in regional stratigraphic correlation. SPECIAL PAPERS-GEOLOGICAL SOCIETY OF AMERICA, 427, p.23."
"Braman, D.R., 2018. Terrestrial palynostratigraphy of the Upper Cretaceous (Santonian) to lowermost Paleocene of southern Alberta, Canada. Palynology, 42(1), pp.102-147."
"Brenner, R.L., Ludvigson, G.A., Witzke, B.J., Zawistoski, A.N., Kvale, E.P., Ravn, R.L. and Joeckel, R.M., 2000. Late Albian Kiowa-skull creek marine transgression, lower Dakota Formation, eastern margin of Western Interior Seaway, USA. Journal of Sedimentary Research, 70(4), pp.868-878."
"Brown, C.M., Boyd, C.A. and Russell, A.P., 2011. A new basal ornithopod dinosaur (Frenchman Formation, Saskatchewan, Canada), and implications for late Maastrichtian ornithischian diversity in North America. Zoological Journal of the Linnean Society, 163(4), pp.1157-1198."
"Carr, T.D., Williamson, T.E. and Schwimmer, D.R., 2005. A new genus and species of tyrannosauroid from the Late Cretaceous (Middle Campanian) Demopolis Formation of Alabama. Journal of vertebrate Paleontology, 25(1), pp.119-143."
"Dana Ehret, D.,  Harrell Jr., T. L.. & Ebersole, S. 2016. Paleontology of the Cretaceous Coon Creek Formation. University of Alabama Bulletin 33, 2."
"DeMar Jr, D.G. and Breithaupt, B.H., 2006. The nonmammalian vertebrate microfossil assemblages of the Mesaverde Formation (Upper Cretaceous, Campanian) of the Wind River and Bighorn basins, Wyoming. Bulletin of the New Mexico Museum of Natural History and Science, 35, pp.33-53."
"Devis, B.M., Cifelli, R.L. and Kielan-Jaworowska, Z., 2008. Earliest evidence of Deltatheroida (Mammalia: Metatheria) from the Early Cretaceous of North America. In Mammalian Evolutionary Morphology (pp. 3-24). Springer, Dordrecht."
"Donovan, A.D., Gardner, R.D., Pramudito, A., Staerker, T.S., Wehner, M., Corbett, M.J., Lundquist, J.J., Romero, A.M., Henry, L.C., Rotzien, J.R. and Boling, K.S., 2015. Chronostratigraphic relationships of the woodbine and Eagle Ford Groups across Texas. GCAGS Journal, v. 4 (2015), p. 67–87. "
"Dyman, T.S. and Nichols, D.J., 1988. Stratigraphy of mid-Cretaceous Blackleaf and lower part of the Frontier Formations in parts of Beaverhead and Madison Counties, Montana (No. 1773). US Government Printing Office."
"Dyman, T.S., Tysdal, R.G., Perry Jr, W.J., Obradovich, J.D., Haley, J.C. and Nichols, D.J., 1997. Correlation of Upper Cretaceous strata from lima peaks area to Madison range, southwestern Montana and southeastern Idaho, USA. Cretaceous Research, 18(6), pp.751-766."
"Ebersole, S., 2010. Biostratigraphy, paleogeography, and paleoenvironments of the Upper Cretaceous (Campanian) northern Mississippi Embayment (Doctoral dissertation, University of Alabama Libraries)."
"Eberth, D.A. and Braman, D.R., 2012. A revised stratigraphy and depositional history for the Horseshoe Canyon Formation (Upper Cretaceous), southern Alberta plains. Canadian Journal of Earth Sciences, 49(9), pp.1053-1086."
"Elder, W.P. and Kirkland, J.I., 1994. Cretaceous paleogeography of the southern Western Interior region. Rocky Mountain Section (SEPM)."
"Esmeray-Senlet, S., Miller, K.G., Sherrell, R.M., Senlet, T., Vellekoop, J. and Brinkhuis, H., 2017. Iridium profiles and delivery across the Cretaceous/Paleogene boundary. Earth and Planetary Science Letters, 457, pp.117-126."
"Fanti, F. and Catuneanu, O., 2009. Stratigraphy of the Upper Cretaceous Wapiti Formation, west-central Alberta, Canada. Canadian Journal of Earth Sciences, 46(4), pp.263-286."
"Finn, T.M., 2007. Subsurface stratigraphic cross sections of Cretaceous and lower Tertiary rocks in the Wind River Basin, central Wyoming. Petroleum systems and geologic assessment of oil and gas in the Wind River Basin Province, Wyoming: US Geological Survey Digital Data Series DDS-69-J, 32."
"Fowler, D.W., 2017. Revised geochronology, correlation, and dinosaur stratigraphic ranges of the Santonian-Maastrichtian (Late Cretaceous) formations of the Western Interior of North America. PloS one, 12(11)."
"Fox, J.E., 1971. Invertebrate fossils and environments of the Fox Hills and Medicine Bow formations (Late Cretaceous) in south-central Wyoming [Ph. D. dissert.]. Laramie, University of Wyoming, xiii, 163."
"Frederickson, J.A., Lipka, T.R. and Cifelli, R.L., 2016. A new species of the lungfish Ceratodus (Dipnoi) from the Early Cretaceous of the eastern USA. Journal of Vertebrate Paleontology, 36(4), p.e1136316."
"Gilbert, M.M., Bamforth, E.L., Buatois, L.A. and Renaut, R.W., 2018. Paleoecology and sedimentology of a vertebrate microfossil assemblage from the easternmost Dinosaur Park Formation (Late Cretaceous, Upper Campanian,) Saskatchewan, Canada: Reconstructing diversity in a coastal ecosystem. Palaeogeography, Palaeoclimatology, Palaeoecology, 495, pp.227-244."
"González-León, C.M., Solari, L.A. and Madhavaraju, J., 2017. Stratigraphy, geochronology and regional tectonic setting of the Late Cretaceous (ca. 82-70 Ma) Cabullona basin, Sonora, Mexico. Journal of South American Earth Sciences, 80, pp.494-511."
"Greenwood, D.R., Basinger, J.F. and Smith, R.Y., 2010. How wet was the Arctic Eocene rain forest? Estimates of precipitation from Paleogene Arctic macrofloras. Geology, 38(1), pp.15-18."
"Hamilton, V., 1994. Sequence stratigraphy of Cretaceous Albian and Cenomanian strata in Kansas. SPECIAL PAPERS-GEOLOGICAL SOCIETY OF AMERICA, pp.79-79."
"Hancock, J.M., Russell, E.E., Taylor, R.H. and Gale, A.S., 1992. The relative stratigraphic position of the foraminiferal and belemnite standards for the Campanian–Maastrichtian boundary. Geological Magazine, 129(6), pp.787-792."
"Harrell Jr, T.L. and Perez-Huerta, A., 2015. Rare earth element (REE) analysis of vertebrate fossils from the Upper Cretaceous carbonate marine formations of western and central Alabama, USA: Taphonomic and paleoenvironmental implications. Palaios, 30(7), pp.514-528."
"Harrell Jr, T.L., Pérez-Huerta, A. and Phillips, G., 2016. Strontium isotope age-dating of fossil shark tooth enameloid from the Upper Cretaceous Strata of Alabama and Mississippi, USA. Cretaceous Research, 62, pp.1-12."
"Harris, J.D., Johnson, K.R., Hicks, J. and Tauxe, L., 1996. Four-toed theropod footprints and a paleomagnetic age from the Whetstone Falls Member of the Harebell Formation (Upper Cretaceous: Maastrichtian), northwestern Wyoming. Cretaceous Research, 17(4), pp.381-401."
"Harris, W.B. and Self-Trail, J.M., 2006. Late Cretaceous base level lowering in Campanian and Maastrichtian depositional sequences, Kure Beach, North Carolina. Stratigraphy, 3(3), pp.195-216."
"Hathway, B. and Plint, G., 2016. Regional TR sequence stratigraphy and lithostratigraphy of the Bearpaw Formation (Upper Campanian), west-central and southwestern Alberta plains. Bulletin of Canadian Petroleum Geology, 64(3), pp.449-466."
"Hicks, J.F., Johnson, K.R., Obradovich, J.D., Miggins, D.P. and Tauxe, L., 2003. Magnetostratigraphy of upper Cretaceous (Maastrichtian) to lower Eocene strata of the Denver Basin, Colorado. Rocky Mountain Geology, 38(1), pp.1-27."
